y_pred,y_test
60.980830889745185,100.5
114.4092735835318,142.375
27.788332449339073,37.5
109.82105732451063,129.75
61.2327950693416,65.125
96.22471082238219,63.0
65.64262067413932,56.5
15.199662605784027,24.625
51.64208925140815,54.0
78.87375514036677,69.125
51.1381608922153,68.625
100.33775413632293,119.625
28.92217125752297,30.75
41.76547187325778,27.125
95.26014767365764,92.625
71.526523248732,84.625
72.91232623651231,117.375
78.75302641081636,40.0
58.83913536317561,41.25
92.94917648762872,86.25
14.443770066994766,31.0
99.45723096793017,103.875
37.28967015067816,26.375
88.66578543448958,53.0
95.13416558385943,79.25
53.292908374638984,23.75
93.36456661402971,107.0
95.76407603285048,107.0
105.87593820983452,64.125
115.16516612232107,130.125
94.88084994406829,98.75
41.63948978345957,16.875
44.295453712180354,54.875
67.15440575171785,63.25
107.06263804430401,80.5
71.526523248732,86.5
32.65508707685504,21.625
101.46656506689716,120.875
95.00233378140645,125.25
93.70506902641799,74.0
102.22883694349079,116.75
54.426747182822865,25.375
35.77788507309964,41.125
72.14051694595736,97.5
33.59651521559846,37.375
101.84953921390145,134.25
19.54948223856544,22.75
90.1775705120681,40.875
17.281804622197654,14.375
101.84953921390145,113.75
65.21150200705581,23.75
30.81190260449612,39.0
29.93002797590865,31.0
21.313231495740382,15.0
92.86648796749165,97.625
102.85236805467747,124.125
92.61317232770051,124.125
108.07049476268969,110.375
78.11786260157751,74.875
75.34625662601688,48.75
71.98139949498145,53.0
45.303310430566036,36.5
110.45096777350167,91.125
38.297526869063844,32.125
